2264, 9, False, True, False, 0, 0, 0, 6, 0, 0, "None", "None", 4, True, "No Problems", "", ""
2181, 9, False, True, False, 0, 1, 0, 1, 0, 3, "None", "None", 0, False, "No Problems", "", ""
4539, 9, False, False, False, 0, 0, 0, 6, 0, 3, "None", "None", 2, True, "No Problems", "", ""
4624, 9, False, True, True, 0, 0, 2, 10, 0, 2, "None", "None", 0, False, "Major Hardware Failure", "Lost hook lmao", ""
3871, 9, False, True, False, 0, 1, 0, 0, 0, 0, "None", "None", 0, True, "Minor Hardware Failure", "Shooter broken. Climb broken? Underlying issue?", "?"
3038, 9, False, True, True, 0, 1, 0, 0, 10, 1, "None", "None", 2, True, "No Problems", "No comment", ""
2052, 10, False, True, True, 3, 0, 0, 10, 0, 1, "None", "None", 4, True, "No Problems", "", ""
525, 10, False, True, True, 5, 0, 0, 10, 0, 3, "A Little", "None", 3, True, "No Problems", "They are very fast", ""
2879, 10, False, True, False, 0, 0, 0, 0, 1, 0, "None", "A Little", 0, False, "No Problems", "didn't shoot much", ""
2530, 10, False, True, False, 0, 0, 0, 0, 1, 1, "None", "None", 1, True, "No Problems", "Literally did nothing for most of the game", ""
4207, 10, False, True, True, 2, 0, 0, 4, 0, 5, "None", "None", 2, True, "Minor Hardware Failure", "Lost control for 5 maybe 10 seconds", ""
3407, 10, False, True, False, 0, 0, 1, 0, 0, 0, "None", "None", 0, False, "No Problems", "They rolled around their side doing only picking up one red ball", "0"
7849, 11, True, False, False, 0, 0, 0, 0, 0, 0, "None", "None", 0, False, "No Problems", "", ""
7028, 11, False, True, False, 2, 0, 0, 20, 0, 1, "None", "None", 2, True, "No Problems", "", ""
7257, 11, False, True, False, 1, 0, 0, 1, 0, 1, "None", "None", 2, True, "No Problems", "", ""
3026, 11, False, True, True, 2, 0, 0, 6, 0, 1, "None", "None", 3, True, "No Problems", "Messed up climb", ""
8787, 11, False, True, False, 0, 0, 0, 0, 7, 2, "None", "None", 0, False, "No Problems", "Team mate broken in climb prevented them from climbing", "6"
3082, 12, False, True, False, 1, 0, 2, 4, 0, 2, "None", "None", 2, True, "No Problems", "", ""
3202, 12, False, True, False, 0, 0, 0, 0, 0, 6, "None", "None", 0, False, "No Problems", "Not too good", ""
2518, 12, False, True, False, 0, 0, 0, 0, 1, 1, "None", "None", 0, False, "No Problems", "", ""
8516, 12, False, False, False, 1, 1, 0, 0, 0, 0, "None", "None", 2, True, "Minor Hardware Failure", "Intake would take balls too fast and the balls would fly out of it", ""
2846, 12, False, True, False, 0, 2, 0, 6, 0, 2, "None", "None", 4, True, "No Problems", "No comment", ""
7038, 12, False, True, False, 0, 1, 0, 0, 7, 3, "None", "None", 2, False, "No Problems", "", "5"
5541, 13, False, True, False, 0, 0, 0, 0, 0, 0, "None", "None", 0, False, "No Problems", "", "Bot had movement problems."
4632, 13, False, False, False, 1, 0, 0, 0, 0, 1, "None", "None", 0, True, "Major Hardware Failure", "Control issues", ""
5434, 13, False, True, True, 1, 0, 2, 5, 0, 2, "None", "None", 4, True, "No Problems", "Intricate Auto", ""
4536, 13, False, True, False, 0, 0, 0, 0, 0, 0, "None", "None", 0, False, "No Problems", "Problems with the pickup", ""
2498, 13, False, True, False, 0, 0, 1, 2, 1, 1, "None", "None", 0, False, "Solid Light (Disabled)", "", "5"
3023, 13, False, True, False, 0, 0, 0, 1, 0, 3, "None", "None", 3, True, "No Problems", "Both teammates were deactivated", ""
3454, 14, False, True, False, 0, 0, 0, 2, 0, 1, "None", "None", 2, True, "No Problems", "", ""
4664, 14, False, False, False, 0, 0, 0, 0, 0, 0, "None", "None", 0, False, "Solid Light (Disabled)", "Temporarily disabled", ""
3278, 14, False, True, False, 0, 0, 0, 0, 0, 0, "None", "A Lot", 0, True, "No Problems", "No comment", ""
5299, 14, False, True, False, 0, 0, 0, 0, 0, 0, "None", "None", 0, True, "No Problems", "No shooter, inconsistent pull-up climb", "1"
5996, 14, False, True, False, 0, 0, 0, 0, 1, 1, "None", "None", 0, True, "No Problems", "", "Drunk driver?"
7068, 14, False, True, False, 1, 0, 0, 1, 0, 3, "None", "None", 3, True, "No Problems", "", ""
4539, 15, False, True, True, 2, 0, 0, 5, 0, 2, "None", "A Little", 2, True, "No Problems", "", ""
2502, 15, False, False, False, 3, 0, 1, 5, 0, 2, "None", "None", 4, True, "No Problems", "", ""
3018, 15, False, True, False, 2, 0, 0, 2, 1, 3, "None", "None", 0, False, "No Problems", "No comment", ""
4198, 15, False, True, True, 1, 0, 1, 6, 0, 1, "None", "None", 4, True, "No Problems", "", "Bobocat"
3691, 15, False, True, False, 0, 0, 0, 1, 0, 1, "None", "None", 0, False, "No Problems", "Pretty much just drove around", ""
2202, 15, False, True, False, 4, 0, 0, 15, 0, 2, "None", "None", 2, False, "No Problems", "", "9"
7850, 16, False, True, False, 0, 0, 0, 1, 0, 1, "None", "None", 0, False, "No Problems", "Interesting shooter", ""
2470, 16, False, True, True, 2, 0, 0, 1, 0, 2, "None", "None", 2, True, "No Problems", "", "Yes"
2508, 16, False, True, False, 1, 0, 0, 0, 0, 0, "None", "None", 0, True, "Minor Hardware Failure", "Broken climb, Steals 2 enemy balls then plays defence (badly))", "2"
2181, 16, False, True, False, 0, 0, 0, 0, 2, 0, "None", "A Little", 0, False, "No Problems", "", "wonky driving"
4229, 16, False, True, True, 2, 0, 0, 1, 0, 1, "None", "None", 0, True, "No Problems", "", ""
3038, 16, False, False, False, 0, 0, 0, 0, 10, 2, "None", "None", 2, True, "No Problems", "", ""
2264, 17, False, True, True, 1, 0, 1, 3, 0, 4, "None", "None", 4, True, "No Problems", "", ""
4778, 17, False, True, True, 2, 0, 0, 1, 0, 1, "None", "None", 2, True, "No Problems", "", ""
8878, 17, False, True, False, 0, 0, 0, 0, 2, 3, "None", "None", 0, False, "No Problems", "", ""
2513, 17, False, True, False, 0, 0, 0, 0, 2, 0, "None", "None", 0, False, "No Problems", "Weird shooter", ""
3277, 17, False, True, False, 0, 0, 0, 4, 0, 4, "None", "None", 2, False, "No Problems", "", "3"
